"Comment[mztab:metadata:assay:id]"	"Comment[mztab:metadata:sample:id]"	"Comment[mztab:metadata:ms_run:id]"	"Comment[mztab:metadata:ms_run:name]"	"Comment[mztab:metadata:ms_run:instrument:id]"	"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"20"	"20"	"20"	""	"1"	"M11050412"	"Extraction"	""	""	"Assay for M11050412"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"20"	""	"Data transformation"	""	"FILES/m11050412.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"21"	"21"	"21"	""	"1"	"M11060106"	"Extraction"	""	""	"Assay for M11060106"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"21"	""	"Data transformation"	""	"FILES/m11060106.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"22"	"22"	"22"	""	"1"	"M11072710"	"Extraction"	""	""	"Assay for M11072710"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"22"	""	"Data transformation"	""	"FILES/m11072710.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"23"	"23"	"23"	""	"1"	"M11062505"	"Extraction"	""	""	"Assay for M11062505"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"23"	""	"Data transformation"	""	"FILES/m11062505.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"24"	"24"	"24"	""	"1"	"M11051205"	"Extraction"	""	""	"Assay for M11051205"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"24"	""	"Data transformation"	""	"FILES/m11051205.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"25"	"25"	"25"	""	"1"	"M11081308"	"Extraction"	""	""	"Assay for M11081308"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"25"	""	"Data transformation"	""	"FILES/m11081308.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"26"	"26"	"26"	""	"1"	"M11061602"	"Extraction"	""	""	"Assay for M11061602"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"26"	""	"Data transformation"	""	"FILES/m11061602.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"27"	"27"	"27"	""	"1"	"M11081710"	"Extraction"	""	""	"Assay for M11081710"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"27"	""	"Data transformation"	""	"FILES/m11081710.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"28"	"28"	"28"	""	"1"	"M11082018"	"Extraction"	""	""	"Assay for M11082018"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"28"	""	"Data transformation"	""	"FILES/m11082018.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"29"	"29"	"29"	""	"1"	"M11051204"	"Extraction"	""	""	"Assay for M11051204"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"29"	""	"Data transformation"	""	"FILES/m11051204.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"30"	"30"	"30"	""	"1"	"M11060113"	"Extraction"	""	""	"Assay for M11060113"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"30"	""	"Data transformation"	""	"FILES/m11060113.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"31"	"31"	"31"	""	"1"	"M11050508"	"Extraction"	""	""	"Assay for M11050508"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"31"	""	"Data transformation"	""	"FILES/m11050508.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"32"	"32"	"32"	""	"1"	"M11073007"	"Extraction"	""	""	"Assay for M11073007"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"32"	""	"Data transformation"	""	"FILES/m11073007.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"33"	"33"	"33"	""	"1"	"M11060921"	"Extraction"	""	""	"Assay for M11060921"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"33"	""	"Data transformation"	""	"FILES/m11060921.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"34"	"34"	"34"	""	"1"	"M11062906"	"Extraction"	""	""	"Assay for M11062906"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"34"	""	"Data transformation"	""	"FILES/m11062906.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"35"	"35"	"35"	""	"1"	"M11072314"	"Extraction"	""	""	"Assay for M11072314"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"35"	""	"Data transformation"	""	"FILES/m11072314.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"36"	"36"	"36"	""	"1"	"M11070602"	"Extraction"	""	""	"Assay for M11070602"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"36"	""	"Data transformation"	""	"FILES/m11070602.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"37"	"37"	"37"	""	"1"	"M11082014"	"Extraction"	""	""	"Assay for M11082014"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"37"	""	"Data transformation"	""	"FILES/m11082014.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"38"	"38"	"38"	""	"1"	"M11072701"	"Extraction"	""	""	"Assay for M11072701"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"38"	""	"Data transformation"	""	"FILES/m11072701.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"39"	"39"	"39"	""	"1"	"M11052502"	"Extraction"	""	""	"Assay for M11052502"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"39"	""	"Data transformation"	""	"FILES/m11052502.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"40"	"40"	"40"	""	"1"	"M11062912"	"Extraction"	""	""	"Assay for M11062912"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"40"	""	"Data transformation"	""	"FILES/m11062912.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"41"	"41"	"41"	""	"1"	"M11051804"	"Extraction"	""	""	"Assay for M11051804"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"41"	""	"Data transformation"	""	"FILES/m11051804.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"42"	"42"	"42"	""	"1"	"M11073016"	"Extraction"	""	""	"Assay for M11073016"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"42"	""	"Data transformation"	""	"FILES/m11073016.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"43"	"43"	"43"	""	"1"	"M11060112"	"Extraction"	""	""	"Assay for M11060112"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"43"	""	"Data transformation"	""	"FILES/m11060112.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"44"	"44"	"44"	""	"1"	"M11050407"	"Extraction"	""	""	"Assay for M11050407"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"44"	""	"Data transformation"	""	"FILES/m11050407.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"45"	"45"	"45"	""	"1"	"M11081706"	"Extraction"	""	""	"Assay for M11081706"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"45"	""	"Data transformation"	""	"FILES/m11081706.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"46"	"46"	"46"	""	"1"	"M11061605"	"Extraction"	""	""	"Assay for M11061605"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"46"	""	"Data transformation"	""	"FILES/m11061605.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"47"	"47"	"47"	""	"1"	"M11061508"	"Extraction"	""	""	"Assay for M11061508"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"47"	""	"Data transformation"	""	"FILES/m11061508.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
"48"	"48"	"48"	""	"1"	"M11051115"	"Extraction"	""	""	"Assay for M11051115"	"Mass spectrometry"	"positive"	""	"6490 Triple Quadrupole LC/MS"	"MS"	"http://purl.obolibrary.org/obo/MS_1002446"	"Electrospray Ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole ion trap"	"MS"	"http://purl.obolibrary.org/obo/MS_1000082"	"48"	""	"Data transformation"	""	"FILES/m11051115.mzml"	"Metabolite identification"	""	"m_MTBLS1000000_metabolite_profiling_v2_maf.tsv"
