Comment[mztab:metadata:assay:id]	Comment[mztab:metadata:sample:id]	Comment[mztab:metadata:ms_run:id]	Comment[mztab:metadata:ms_run:name]	Comment[mztab:metadata:ms_run:instrument:id]	Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
25	25	25			2025_10_07_Zambonilab2192_068_P28F1	Extraction			Assay_25					Mass spectrometry	positive											25		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
26	26	26			2025_10_07_Zambonilab2192_059_P21TNM2	Extraction			Assay_26					Mass spectrometry	positive											26		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
27	27	27			2025_10_07_Zambonilab2192_051_P28TNM5	Extraction			Assay_27					Mass spectrometry	positive											27		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
28	28	28			2025_10_07_Zambonilab2192_022_P28M3	Extraction			Assay_28					Mass spectrometry	positive											28		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
29	29	29			2025_10_07_Zambonilab2192_010_P21TNM1	Extraction			Assay_29					Mass spectrometry	positive											29		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
30	30	30			2025_10_07_Zambonilab2192_004_blank4	Extraction			Assay_30					Mass spectrometry	positive											30		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
31	31	31			2025_10_07_Zambonilab2192_037_P21EWM1	Extraction			Assay_31					Mass spectrometry	positive											31		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
32	32	32			2025_10_07_Zambonilab2192_052_P15M4	Extraction			Assay_32					Mass spectrometry	positive											32		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
33	33	33			2025_10_07_Zambonilab2192_055_P21EWM5	Extraction			Assay_33					Mass spectrometry	positive											33		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
34	34	34			2025_10_07_Zambonilab2192_064_P21TNM5	Extraction			Assay_34					Mass spectrometry	positive											34		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
35	35	35			2025_10_07_Zambonilab2192_072_P28TNM3	Extraction			Assay_35					Mass spectrometry	positive											35		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
36	36	36			2025_10_07_Zambonilab2192_056_P28F4	Extraction			Assay_36					Mass spectrometry	positive											36		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
37	37	37			2025_10_07_Zambonilab2192_070_P28TNF4	Extraction			Assay_37					Mass spectrometry	positive											37		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
38	38	38			2025_10_07_Zambonilab2192_032_P15F7	Extraction			Assay_38					Mass spectrometry	positive											38		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
39	39	39			2025_10_07_Zambonilab2192_053_QC5	Extraction			Assay_39					Mass spectrometry	positive											39		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
40	40	40			2025_10_07_Zambonilab2192_054_P21TNF1	Extraction			Assay_40					Mass spectrometry	positive											40		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
41	41	41			2025_10_07_Zambonilab2192_013_P28TNF1	Extraction			Assay_41					Mass spectrometry	positive											41		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
42	42	42			2025_10_07_Zambonilab2192_025_P28M5	Extraction			Assay_42					Mass spectrometry	positive											42		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
43	43	43			2025_10_07_Zambonilab2192_029_QC3	Extraction			Assay_43					Mass spectrometry	positive											43		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
44	44	44			2025_10_07_Zambonilab2192_002_blank2	Extraction			Assay_44					Mass spectrometry	positive											44		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
45	45	45			2025_10_07_Zambonilab2192_050_P21EWF2	Extraction			Assay_45					Mass spectrometry	positive											45		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
46	46	46			2025_10_07_Zambonilab2192_014_P15M6	Extraction			Assay_46					Mass spectrometry	positive											46		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
47	47	47			2025_10_07_Zambonilab2192_062_P21TNM3	Extraction			Assay_47					Mass spectrometry	positive											47		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
48	48	48			2025_10_07_Zambonilab2192_066_P21M1	Extraction			Assay_48					Mass spectrometry	positive											48		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
49	49	49			2025_10_07_Zambonilab2192_026_P15F6	Extraction			Assay_49					Mass spectrometry	positive											49		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
50	50	50			2025_10_07_Zambonilab2192_012_P28F3	Extraction			Assay_50					Mass spectrometry	positive											50		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
51	51	51			2025_10_07_Zambonilab2192_049_P28F2	Extraction			Assay_51					Mass spectrometry	positive											51		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
52	52	52			2025_10_07_Zambonilab2192_006_P21F1	Extraction			Assay_52					Mass spectrometry	positive											52		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
53	53	53			2025_10_07_Zambonilab2192_060_P21EWF3	Extraction			Assay_53					Mass spectrometry	positive											53		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
54	54	54			2025_10_07_Zambonilab2192_045_P15M8	Extraction			Assay_54					Mass spectrometry	positive											54		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
55	55	55			2025_10_07_Zambonilab2192_015_P15M5	Extraction			Assay_55					Mass spectrometry	positive											55		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
56	56	56			2025_10_07_Zambonilab2192_041_QC4	Extraction			Assay_56					Mass spectrometry	positive											56		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
57	57	57			2025_10_07_Zambonilab2192_020_P21TNF3	Extraction			Assay_57					Mass spectrometry	positive											57		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
58	58	58			2025_10_07_Zambonilab2192_071_P15F4	Extraction			Assay_58					Mass spectrometry	positive											58		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
59	59	59			2025_10_07_Zambonilab2192_034_P15F3	Extraction			Assay_59					Mass spectrometry	positive											59		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
60	60	60			2025_10_07_Zambonilab2192_057_P21EWF1	Extraction			Assay_60					Mass spectrometry	positive											60		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
61	61	61			2025_10_07_Zambonilab2192_019_P15M7	Extraction			Assay_61					Mass spectrometry	positive											61		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
62	62	62			2025_10_07_Zambonilab2192_038_P28TNM2	Extraction			Assay_62					Mass spectrometry	positive											62		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
63	63	63			2025_10_07_Zambonilab2192_065_QC6	Extraction			Assay_63					Mass spectrometry	positive											63		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
64	64	64			2025_10_07_Zambonilab2192_031_P21TNF4	Extraction			Assay_64					Mass spectrometry	positive											64		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
65	65	65			2025_10_07_Zambonilab2192_074_blank5	Extraction			Assay_65					Mass spectrometry	positive											65		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
66	66	66			2025_10_07_Zambonilab2192_043_P28TNM4	Extraction			Assay_66					Mass spectrometry	positive											66		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
67	67	67			2025_10_07_Zambonilab2192_046_P21M3	Extraction			Assay_67					Mass spectrometry	positive											67		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
68	68	68			2025_10_07_Zambonilab2192_073_QC7	Extraction			Assay_68					Mass spectrometry	positive											68		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
69	69	69			2025_10_07_Zambonilab2192_011_P21EWM4	Extraction			Assay_69					Mass spectrometry	positive											69		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
70	70	70			2025_10_07_Zambonilab2192_042_P21TNF2	Extraction			Assay_70					Mass spectrometry	positive											70		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
71	71	71			2025_10_07_Zambonilab2192_036_P28M2	Extraction			Assay_71					Mass spectrometry	positive											71		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
72	72	72			2025_10_07_Zambonilab2192_005_QC1	Extraction			Assay_72					Mass spectrometry	positive											72		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
73	73	73			2025_10_07_Zambonilab2192_021_P15M3	Extraction			Assay_73					Mass spectrometry	positive											73		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
74	74	74			2025_10_07_Zambonilab2192_023_P15F9	Extraction			Assay_74					Mass spectrometry	positive											74		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
75	75	75			2025_10_07_Zambonilab2192_016_P21TNM4	Extraction			Assay_75					Mass spectrometry	positive											75		Data transformation		FILES/unknown	Metabolite identification		m_REQ2025110600007_metabolite_profiling_v2_maf.tsv
